"path","Francesco Nullo","Teatr Variete","5","1,7,14,22","50.06008681926794, 19.967066645622253; 50.05932916188851, 19.963933825492862; 50.05919140471578, 19.96340811252594; 50.05900543190518, 19.962801933288578; 50.05885389797095, 19.96245324611664"
"stop","Teatr Variete","50.05885045401232, 19.96245324611664",,,
"path","Teatr Variete","Rondo Grzegorzeckie","5","1,7,14,22","50.058836678175396, 19.96244251728058; 50.05812377321551, 19.960881471633915; 50.05773115436634, 19.95973348617554; 50.0576140568946, 19.95898246765137"
"stop","Rondo Grzegorzeckie","50.057624389035944, 19.95898246765137",,,
"path","Rondo Grzegorzeckie","Hala Targowa","5","1,9,12,22","50.057521067522245, 19.95722830295563; 50.05753139968361, 19.9569708108902; 50.05841651324899, 19.954385161399845; 50.0585646045856, 19.953639507293705; 50.05878846271499, 19.9507749080658; 50.05878846271499, 19.950624704360965; 50.05866792385204, 19.948832988739014"
"stop","Hala Targowa","50.0586748117952, 19.948832988739014",,,
"path","Hala Targowa","Starowiślna","5","1,9,12,22","50.05866792385204, 19.948854446411136; 50.05861970822205, 19.948436021804813; 50.05834763340181, 19.947159290313724; 50.05819609738992, 19.946891069412235; 50.05807555703867, 19.946719408035282; 50.05713188782321, 19.945914745330814; 50.05652228141864, 19.945448040962223"
"stop","Starowiślna","50.0564912842759, 19.945453405380253",,,
"path","Starowiślna","Poczta Główna","5","1,3,24,52","50.05649472840386, 19.94543194770813; 50.056808143013455, 19.945195913314823; 50.057135331905165, 19.944680929183964; 50.0586438160431, 19.943071603775024; 50.05958745552122, 19.942122101783756"
"stop","Poczta Główna","50.05957023598896, 19.942100644111637",,,
"path","Poczta Główna","J Poczta Główna","5","1,10","50.05958745552122, 19.942100644111637; 50.059218956181965, 19.941591024398804; 50.05900887585266, 19.94129598140717"
"junction","J Poczta Główna","50.05898476821506, 19.94126379489899",,,
"path","J Poczta Główna","Plac Wszystkich Swietych","5","1,6,8,13,18","50.05899510006123, 19.941317439079288; 50.05899165611275, 19.940856099128727; 50.05909497445953, 19.938688874244693; 50.059129413859026, 19.93792712688446"
"stop","Plac Wszystkich Swietych","50.059129413859026, 19.93792712688446",,,
"path","Plac Wszystkich Swietych","Filharmonia","5","1,6,8,13,18","50.0591225259811, 19.93792712688446; 50.05915007748685, 19.937208294868473; 50.05920518045086, 19.936934709548954; 50.05938082072629, 19.93655383586884; 50.05945314300577, 19.936274886131287; 50.05946691866568, 19.93599593639374; 50.05938082072629, 19.934853315353397; 50.05934293758402, 19.93470311164856; 50.058826346295106, 19.933345913887027"
"stop","Filharmonia","50.05884012213499, 19.933372735977176",,,
"path","Filharmonia","Jubilat","5","1,2,6","50.058826346295106, 19.933372735977176; 50.05868169973741, 19.932943582534794; 50.05764849735713, 19.930711984634403; 50.05647406363236, 19.929295778274536; 50.055905778929045, 19.92867887020111; 50.05558891423238, 19.92827117443085; 50.05528582430359, 19.927675724029545"
"stop","Jubilat","50.05522727261943, 19.92755234241486",,,
"path","Jubilat","Komorowskiego","5","1,2,6","50.05522727261943, 19.92752552032471; 50.05468308296048, 19.92625415325165; 50.05341557932077, 19.92183387279511"
"stop","Komorowskiego","50.05341557932077, 19.921849966049198",,,
"path","Komorowskiego","Salwator","5","1,2,6","50.05341557932077, 19.92182850837708; 50.05260959491914, 19.91903901100159; 50.052537262323675, 19.91805732250214; 50.05264403897387, 19.917145371437076; 50.052774926156424, 19.91601347923279"
"stop","Salwator","50.052774926156424, 19.91606712341309",,,
"path","Salwator","L Salwator","5","1,2,6","50.05277837055117, 19.916051030159; 50.052774926156424, 19.915444850921634; 50.052737037798195, 19.914758205413822; 50.05264403897387, 19.914189577102665"
"loop","L Salwator","50.052626816949584, 19.914189577102665",,,
